Year,NOAA_LOW,NOAA_INT_LOW,NOAA_INT,NOAA_INT_HIGH,NOAA_HIGH
2000,0,0,0,0,0
2010,0.13,0.16,0.23,0.3,0.36
2020,0.3,0.36,0.49,0.62,0.72
2030,0.46,0.56,0.79,1.02,1.25
2040,0.59,0.72,1.08,1.41,1.77
2050,0.79,0.95,1.44,1.97,2.56
2060,0.92,1.15,1.87,2.62,3.48
2070,1.08,1.35,2.33,3.38,4.56
2080,1.21,1.54,2.82,4.2,5.71
2090,1.31,1.71,3.38,5.15,7.05
2100,1.44,1.9,3.9,6.17,8.5
